_month,_previousMonth,_previousYear,Date,Industry (NAICS)1,_valueConnector,Dollars
March2008,2008-02-01,2007-03-01,3/1/2008,Furniture and home furnishings stores,24262000,24262000
May2008,2008-04-01,2007-05-01,5/1/2008,Furniture and home furnishings stores,24991000,24991000
June2008,2008-05-01,2007-06-01,6/1/2008,Furniture and home furnishings stores,24559000,24559000
July2008,2008-06-01,2007-07-01,7/1/2008,Furniture and home furnishings stores,27527000,27527000
August2008,2008-07-01,2007-08-01,8/1/2008,Furniture and home furnishings stores,28303000,28303000
October2008,2008-09-01,2007-10-01,10/1/2008,Furniture and home furnishings stores,29403000,29403000
November2008,2008-10-01,2007-11-01,11/1/2008,Furniture and home furnishings stores,28772000,28772000
December2008,2008-11-01,2007-12-01,12/1/2008,Furniture and home furnishings stores,40317000,40317000
January2009,2008-12-01,2008-01-01,1/1/2009,Furniture and home furnishings stores,23988000,23988000
February2009,2009-01-01,2008-02-01,2/1/2009,Furniture and home furnishings stores,19136000,19136000
March2009,2009-02-01,2008-03-01,3/1/2009,Furniture and home furnishings stores,23665000,23665000
April2009,2009-03-01,2008-04-01,4/1/2009,Furniture and home furnishings stores,20717000,20717000
May2009,2009-04-01,2008-05-01,5/1/2009,Furniture and home furnishings stores,23555000,23555000
June2009,2009-05-01,2008-06-01,6/1/2009,Furniture and home furnishings stores,25192000,25192000
July2009,2009-06-01,2008-07-01,7/1/2009,Furniture and home furnishings stores,27003000,27003000
August2009,2009-07-01,2008-08-01,8/1/2009,Furniture and home furnishings stores,24755000,24755000
September2009,2009-08-01,2008-09-01,9/1/2009,Furniture and home furnishings stores,24927000,24927000
October2009,2009-09-01,2008-10-01,10/1/2009,Furniture and home furnishings stores,25947000,25947000
November2009,2009-10-01,2008-11-01,11/1/2009,Furniture and home furnishings stores,29267000,29267000
December2009,2009-11-01,2008-12-01,12/1/2009,Furniture and home furnishings stores,34874000,34874000
January2010,2009-12-01,2009-01-01,1/1/2010,Furniture and home furnishings stores,24219000,24219000
February2010,2010-01-01,2009-02-01,2/1/2010,Furniture and home furnishings stores,20961000,20961000
March2010,2010-02-01,2009-03-01,3/1/2010,Furniture and home furnishings stores,24709000,24709000
April2010,2010-03-01,2009-04-01,4/1/2010,Furniture and home furnishings stores,22146000,22146000
June2010,2010-05-01,2009-06-01,6/1/2010,Furniture and home furnishings stores,26661000,26661000
July2010,2010-06-01,2009-07-01,7/1/2010,Furniture and home furnishings stores,23851000,23851000
August2010,2010-07-01,2009-08-01,8/1/2010,Furniture and home furnishings stores,24759000,24759000
September2010,2010-08-01,2009-09-01,9/1/2010,Furniture and home furnishings stores,25585000,25585000
October2010,2010-09-01,2009-10-01,10/1/2010,Furniture and home furnishings stores,26286000,26286000
November2010,2010-10-01,2009-11-01,11/1/2010,Furniture and home furnishings stores,28704000,28704000
December2010,2010-11-01,2009-12-01,12/1/2010,Furniture and home furnishings stores,34683000,34683000
January2011,2010-12-01,2010-01-01,1/1/2011,Furniture and home furnishings stores,22259000,22259000
October2011,2011-09-01,2010-10-01,10/1/2011,Furniture and home furnishings stores,25124000,25124000
February2012,2012-01-01,2011-02-01,2/1/2012,Furniture and home furnishings stores,21074000,21074000
October2012,2012-09-01,2011-10-01,10/1/2012,Furniture and home furnishings stores,26083000,26083000
January2013,2012-12-01,2012-01-01,1/1/2013,Furniture and home furnishings stores,22191000,22191000
February2013,2013-01-01,2012-02-01,2/1/2013,Furniture and home furnishings stores,18109000,18109000
June2013,2013-05-01,2012-06-01,6/1/2013,Furniture and home furnishings stores,23941000,23941000
July2013,2013-06-01,2012-07-01,7/1/2013,Furniture and home furnishings stores,25721000,25721000
October2013,2013-09-01,2012-10-01,10/1/2013,Furniture and home furnishings stores,25277000,25277000
December2013,2013-11-01,2012-12-01,12/1/2013,Furniture and home furnishings stores,28907000,28907000
January2014,2013-12-01,2013-01-01,1/1/2014,Furniture and home furnishings stores,20002000,20002000
February2014,2014-01-01,2013-02-01,2/1/2014,Furniture and home furnishings stores,19104000,19104000
March2014,2014-02-01,2013-03-01,3/1/2014,Furniture and home furnishings stores,22259000,22259000
April2014,2014-03-01,2013-04-01,4/1/2014,Furniture and home furnishings stores,21314000,21314000
May2014,2014-04-01,2013-05-01,5/1/2014,Furniture and home furnishings stores,25754000,25754000
June2014,2014-05-01,2013-06-01,6/1/2014,Furniture and home furnishings stores,22894000,22894000
October2014,2014-09-01,2013-10-01,10/1/2014,Furniture and home furnishings stores,24099000,24099000
December2014,2014-11-01,2013-12-01,12/1/2014,Furniture and home furnishings stores,32313000,32313000
February2015,2015-01-01,2014-02-01,2/1/2015,Furniture and home furnishings stores,16476000,16476000
March2015,2015-02-01,2014-03-01,3/1/2015,Furniture and home furnishings stores,21621000,21621000
April2015,2015-03-01,2014-04-01,4/1/2015,Furniture and home furnishings stores,23134000,23134000
May2015,2015-04-01,2014-05-01,5/1/2015,Furniture and home furnishings stores,26530000,26530000
June2015,2015-05-01,2014-06-01,6/1/2015,Furniture and home furnishings stores,24577000,24577000
August2015,2015-07-01,2014-08-01,8/1/2015,Furniture and home furnishings stores,27078000,27078000
September2015,2015-08-01,2014-09-01,9/1/2015,Furniture and home furnishings stores,28584000,28584000
October2015,2015-09-01,2014-10-01,10/1/2015,Furniture and home furnishings stores,25415000,25415000
November2015,2015-10-01,2014-11-01,11/1/2015,Furniture and home furnishings stores,29470000,29470000
December2015,2015-11-01,2014-12-01,12/1/2015,Furniture and home furnishings stores,29734000,29734000
January2016,2015-12-01,2015-01-01,1/1/2016,Furniture and home furnishings stores,20488000,20488000
February2016,2016-01-01,2015-02-01,2/1/2016,Furniture and home furnishings stores,21330000,21330000
April2016,2016-03-01,2015-04-01,4/1/2016,Furniture and home furnishings stores,23949000,23949000
May2016,2016-04-01,2015-05-01,5/1/2016,Furniture and home furnishings stores,26073000,26073000
June2016,2016-05-01,2015-06-01,6/1/2016,Furniture and home furnishings stores,25041000,25041000
July2016,2016-06-01,2015-07-01,7/1/2016,Furniture and home furnishings stores,24029000,24029000
August2016,2016-07-01,2015-08-01,8/1/2016,Furniture and home furnishings stores,26610000,26610000
September2016,2016-08-01,2015-09-01,9/1/2016,Furniture and home furnishings stores,27489000,27489000
October2016,2016-09-01,2015-10-01,10/1/2016,Furniture and home furnishings stores,24476000,24476000
November2016,2016-10-01,2015-11-01,11/1/2016,Furniture and home furnishings stores,28538000,28538000
December2016,2016-11-01,2015-12-01,12/1/2016,Furniture and home furnishings stores,30550000,30550000
January2017,2016-12-01,2016-01-01,1/1/2017,Furniture and home furnishings stores,22604000,22604000
February2017,2017-01-01,2016-02-01,2/1/2017,Furniture and home furnishings stores,17860000,17860000
March2017,2017-02-01,2016-03-01,3/1/2017,Furniture and home furnishings stores,25831000,25831000
April2017,2017-03-01,2016-04-01,4/1/2017,Furniture and home furnishings stores,24299000,24299000
May2017,2017-04-01,2016-05-01,5/1/2017,Furniture and home furnishings stores,25750000,25750000
June2017,2017-05-01,2016-06-01,6/1/2017,Furniture and home furnishings stores,25020000,25020000
July2017,2017-06-01,2016-07-01,7/1/2017,Furniture and home furnishings stores,27351000,27351000
August2017,2017-07-01,2016-08-01,8/1/2017,Furniture and home furnishings stores,29362000,29362000
September2017,2017-08-01,2016-09-01,9/1/2017,Furniture and home furnishings stores,31892000,31892000
October2017,2017-09-01,2016-10-01,10/1/2017,Furniture and home furnishings stores,34895000,34895000
November2017,2017-10-01,2016-11-01,11/1/2017,Furniture and home furnishings stores,40409000,40409000
December2017,2017-11-01,2016-12-01,12/1/2017,Furniture and home furnishings stores,40076000,40076000
January2018,2017-12-01,2017-01-01,1/1/2018,Furniture and home furnishings stores,29074000,29074000
February2018,2018-01-01,2017-02-01,2/1/2018,Furniture and home furnishings stores,26714000,26714000
March2018,2018-02-01,2017-03-01,3/1/2018,Furniture and home furnishings stores,30773000,30773000
April2018,2018-03-01,2017-04-01,4/1/2018,Furniture and home furnishings stores,32680000,32680000
May2018,2018-04-01,2017-05-01,5/1/2018,Furniture and home furnishings stores,35027000,35027000
June2018,2018-05-01,2017-06-01,6/1/2018,Furniture and home furnishings stores,32156000,32156000
July2018,2018-06-01,2017-07-01,7/1/2018,Furniture and home furnishings stores,33798000,33798000
August2018,2018-07-01,2017-08-01,8/1/2018,Furniture and home furnishings stores,36777000,36777000
September2018,2018-08-01,2017-09-01,9/1/2018,Furniture and home furnishings stores,34081000,34081000
October2018,2018-09-01,2017-10-01,10/1/2018,Furniture and home furnishings stores,31303000,31303000
November2018,2018-10-01,2017-11-01,11/1/2018,Furniture and home furnishings stores,38178000,38178000
December2018,2018-11-01,2017-12-01,12/1/2018,Furniture and home furnishings stores,34881000,34881000
January2019,2018-12-01,2018-01-01,1/1/2019,Furniture and home furnishings stores,28666000,28666000
February2019,2019-01-01,2018-02-01,2/1/2019,Furniture and home furnishings stores,24121000,24121000
March2019,2019-02-01,2018-03-01,3/1/2019,Furniture and home furnishings stores,34243000,34243000
April2019,2019-03-01,2018-04-01,4/1/2019,Furniture and home furnishings stores,31793000,31793000
May2019,2019-04-01,2018-05-01,5/1/2019,Furniture and home furnishings stores,37688000,37688000
June2019,2019-05-01,2018-06-01,6/1/2019,Furniture and home furnishings stores,35297000,35297000
July2019,2019-06-01,2018-07-01,7/1/2019,Furniture and home furnishings stores,35057000,35057000
December2019,2019-11-01,2018-12-01,12/1/2019,Furniture and home furnishings stores,40292000,40292000
January2020,2019-12-01,2019-01-01,1/1/2020,Furniture and home furnishings stores,29773000,29773000
April2020,2020-03-01,2019-04-01,4/1/2020,Furniture and home furnishings stores,12314000,12314000
May2020,2020-04-01,2019-05-01,5/1/2020,Furniture and home furnishings stores,17814000,17814000
November2020,2020-10-01,2019-11-01,11/1/2020,Furniture and home furnishings stores,44940000,44940000
December2020,2020-11-01,2019-12-01,12/1/2020,Furniture and home furnishings stores,40807000,40807000
January2021,2020-12-01,2020-01-01,1/1/2021,Furniture and home furnishings stores,29987000,29987000
February2021,2021-01-01,2020-02-01,2/1/2021,Furniture and home furnishings stores,29855000,29855000
March2021,2021-02-01,2020-03-01,3/1/2021,Furniture and home furnishings stores,44693000,44693000
April2021,2021-03-01,2020-04-01,4/1/2021,Furniture and home furnishings stores,31823000,31823000
June2021,2021-05-01,2020-06-01,6/1/2021,Furniture and home furnishings stores,39940000,39940000
July2021,2021-06-01,2020-07-01,7/1/2021,Furniture and home furnishings stores,42720000,42720000
August2021,2021-07-01,2020-08-01,8/1/2021,Furniture and home furnishings stores,44662000,44662000
September2021,2021-08-01,2020-09-01,9/1/2021,Furniture and home furnishings stores,47882000,47882000
October2021,2021-09-01,2020-10-01,10/1/2021,Furniture and home furnishings stores,45913000,45913000
November2021,2021-10-01,2020-11-01,11/1/2021,Furniture and home furnishings stores,50023000,50023000
December2021,2021-11-01,2020-12-01,12/1/2021,Furniture and home furnishings stores,44395000,44395000
January2022,2021-12-01,2021-01-01,1/1/2022,Furniture and home furnishings stores,38821000,38821000
February2022,2022-01-01,2021-02-01,2/1/2022,Furniture and home furnishings stores,35634000,35634000
January2005,2004-12-01,2004-01-01,1/1/2005,Gasoline stations,66514000,66514000
February2005,2005-01-01,2004-02-01,2/1/2005,Gasoline stations,63469000,63469000
January2006,2005-12-01,2005-01-01,1/1/2006,Gasoline stations,83170000,83170000
February2006,2006-01-01,2005-02-01,2/1/2006,Gasoline stations,73636000,73636000
March2006,2006-02-01,2005-03-01,3/1/2006,Gasoline stations,86679000,86679000
December2006,2006-11-01,2005-12-01,12/1/2006,Gasoline stations,94819000,94819000
August2007,2007-07-01,2006-08-01,8/1/2007,Gasoline stations,121158000,121158000
May2008,2008-04-01,2007-05-01,5/1/2008,Gasoline stations,139634000,139634000
July2008,2008-06-01,2007-07-01,7/1/2008,Gasoline stations,156220000,156220000
August2008,2008-07-01,2007-08-01,8/1/2008,Gasoline stations,145945000,145945000
September2008,2008-08-01,2007-09-01,9/1/2008,Gasoline stations,132776000,132776000
October2008,2008-09-01,2007-10-01,10/1/2008,Gasoline stations,123166000,123166000
November2008,2008-10-01,2007-11-01,11/1/2008,Gasoline stations,99551000,99551000
December2008,2008-11-01,2007-12-01,12/1/2008,Gasoline stations,87707000,87707000
December2010,2010-11-01,2009-12-01,12/1/2010,Gasoline stations,146199000,146199000
January2011,2010-12-01,2010-01-01,1/1/2011,Gasoline stations,137154000,137154000
July2012,2012-06-01,2011-07-01,7/1/2012,Gasoline stations,179251000,179251000
August2012,2012-07-01,2011-08-01,8/1/2012,Gasoline stations,190109000,190109000
September2012,2012-08-01,2011-09-01,9/1/2012,Gasoline stations,178570000,178570000
July2013,2013-06-01,2012-07-01,7/1/2013,Gasoline stations,204121000,204121000
August2013,2013-07-01,2012-08-01,8/1/2013,Gasoline stations,209232000,209232000
September2013,2013-08-01,2012-09-01,9/1/2013,Gasoline stations,183738000,183738000
October2013,2013-09-01,2012-10-01,10/1/2013,Gasoline stations,183380000,183380000
November2013,2013-10-01,2012-11-01,11/1/2013,Gasoline stations,179542000,179542000
January2014,2013-12-01,2013-01-01,1/1/2014,Gasoline stations,167211000,167211000
March2014,2014-02-01,2013-03-01,3/1/2014,Gasoline stations,177247000,177247000
April2014,2014-03-01,2013-04-01,4/1/2014,Gasoline stations,175792000,175792000
December2014,2014-11-01,2013-12-01,12/1/2014,Gasoline stations,143957000,143957000
October2016,2016-09-01,2015-10-01,10/1/2016,Gasoline stations,171645000,171645000
November2016,2016-10-01,2015-11-01,11/1/2016,Gasoline stations,162086000,162086000
December2016,2016-11-01,2015-12-01,12/1/2016,Gasoline stations,174427000,174427000
January2017,2016-12-01,2016-01-01,1/1/2017,Gasoline stations,139998000,139998000
February2017,2017-01-01,2016-02-01,2/1/2017,Gasoline stations,146514000,146514000
March2017,2017-02-01,2016-03-01,3/1/2017,Gasoline stations,154928000,154928000
April2017,2017-03-01,2016-04-01,4/1/2017,Gasoline stations,157285000,157285000
May2017,2017-04-01,2016-05-01,5/1/2017,Gasoline stations,165586000,165586000
June2017,2017-05-01,2016-06-01,6/1/2017,Gasoline stations,164586000,164586000
July2017,2017-06-01,2016-07-01,7/1/2017,Gasoline stations,187384000,187384000
August2017,2017-07-01,2016-08-01,8/1/2017,Gasoline stations,189376000,189376000
September2017,2017-08-01,2016-09-01,9/1/2017,Gasoline stations,176528000,176528000
December2017,2017-11-01,2016-12-01,12/1/2017,Gasoline stations,179451000,179451000
January2018,2017-12-01,2017-01-01,1/1/2018,Gasoline stations,162364000,162364000
February2018,2018-01-01,2017-02-01,2/1/2018,Gasoline stations,148405000,148405000
March2018,2018-02-01,2017-03-01,3/1/2018,Gasoline stations,170230000,170230000
May2018,2018-04-01,2017-05-01,5/1/2018,Gasoline stations,192347000,192347000
June2018,2018-05-01,2017-06-01,6/1/2018,Gasoline stations,190814000,190814000
November2018,2018-10-01,2017-11-01,11/1/2018,Gasoline stations,151115000,151115000
December2018,2018-11-01,2017-12-01,12/1/2018,Gasoline stations,152961000,152961000
January2019,2018-12-01,2018-01-01,1/1/2019,Gasoline stations,141346000,141346000
February2019,2019-01-01,2018-02-01,2/1/2019,Gasoline stations,128499000,128499000
March2019,2019-02-01,2018-03-01,3/1/2019,Gasoline stations,161799000,161799000
February2020,2020-01-01,2019-02-01,2/1/2020,Gasoline stations,140713000,140713000
March2020,2020-02-01,2019-03-01,3/1/2020,Gasoline stations,129720000,129720000
April2020,2020-03-01,2019-04-01,4/1/2020,Gasoline stations,81047000,81047000
May2020,2020-04-01,2019-05-01,5/1/2020,Gasoline stations,111130000,111130000
June2020,2020-05-01,2019-06-01,6/1/2020,Gasoline stations,159279000,159279000
July2020,2020-06-01,2019-07-01,7/1/2020,Gasoline stations,165108000,165108000
August2020,2020-07-01,2019-08-01,8/1/2020,Gasoline stations,164317000,164317000
September2020,2020-08-01,2019-09-01,9/1/2020,Gasoline stations,148622000,148622000
October2020,2020-09-01,2019-10-01,10/1/2020,Gasoline stations,149498000,149498000
November2020,2020-10-01,2019-11-01,11/1/2020,Gasoline stations,139629000,139629000
December2020,2020-11-01,2019-12-01,12/1/2020,Gasoline stations,143861000,143861000
January2021,2020-12-01,2020-01-01,1/1/2021,Gasoline stations,143741000,143741000
February2021,2021-01-01,2020-02-01,2/1/2021,Gasoline stations,138355000,138355000
March2021,2021-02-01,2020-03-01,3/1/2021,Gasoline stations,169285000,169285000
April2021,2021-03-01,2020-04-01,4/1/2021,Gasoline stations,172146000,172146000
May2021,2021-04-01,2020-05-01,5/1/2021,Gasoline stations,159553000,159553000
June2021,2021-05-01,2020-06-01,6/1/2021,Gasoline stations,191856000,191856000
October2021,2021-09-01,2020-10-01,10/1/2021,Gasoline stations,224981000,224981000
November2021,2021-10-01,2020-11-01,11/1/2021,Gasoline stations,196173000,196173000
December2021,2021-11-01,2020-12-01,12/1/2021,Gasoline stations,187704000,187704000
January2022,2021-12-01,2021-01-01,1/1/2022,Gasoline stations,151487000,151487000
February2022,2022-01-01,2021-02-01,2/1/2022,Gasoline stations,166270000,166270000
January2004,2003-12-01,2003-01-01,1/1/2004,General merchandise stores,72642000,72642000
February2004,2004-01-01,2003-02-01,2/1/2004,General merchandise stores,65718000,65718000
March2004,2004-02-01,2003-03-01,3/1/2004,General merchandise stores,81627000,81627000
April2004,2004-03-01,2003-04-01,4/1/2004,General merchandise stores,95371000,95371000
May2004,2004-04-01,2003-05-01,5/1/2004,General merchandise stores,96561000,96561000
June2004,2004-05-01,2003-06-01,6/1/2004,General merchandise stores,99165000,99165000
July2004,2004-06-01,2003-07-01,7/1/2004,General merchandise stores,99455000,99455000
August2004,2004-07-01,2003-08-01,8/1/2004,General merchandise stores,96938000,96938000
September2004,2004-08-01,2003-09-01,9/1/2004,General merchandise stores,91452000,91452000
October2004,2004-09-01,2003-10-01,10/1/2004,General merchandise stores,102704000,102704000
November2004,2004-10-01,2003-11-01,11/1/2004,General merchandise stores,130396000,130396000
December2004,2004-11-01,2003-12-01,12/1/2004,General merchandise stores,179503000,179503000
January2005,2004-12-01,2004-01-01,1/1/2005,General merchandise stores,70997000,70997000
February2005,2005-01-01,2004-02-01,2/1/2005,General merchandise stores,69506000,69506000
March2005,2005-02-01,2004-03-01,3/1/2005,General merchandise stores,88710000,88710000
April2005,2005-03-01,2004-04-01,4/1/2005,General merchandise stores,91931000,91931000
May2005,2005-04-01,2004-05-01,5/1/2005,General merchandise stores,93629000,93629000
June2005,2005-05-01,2004-06-01,6/1/2005,General merchandise stores,105420000,105420000
July2005,2005-06-01,2004-07-01,7/1/2005,General merchandise stores,102465000,102465000
August2005,2005-07-01,2004-08-01,8/1/2005,General merchandise stores,99882000,99882000
September2005,2005-08-01,2004-09-01,9/1/2005,General merchandise stores,97788000,97788000
October2005,2005-09-01,2004-10-01,10/1/2005,General merchandise stores,105537000,105537000
November2005,2005-10-01,2004-11-01,11/1/2005,General merchandise stores,129181000,129181000
December2005,2005-11-01,2004-12-01,12/1/2005,General merchandise stores,187066000,187066000
January2006,2005-12-01,2005-01-01,1/1/2006,General merchandise stores,76371000,76371000
February2006,2006-01-01,2005-02-01,2/1/2006,General merchandise stores,72366000,72366000
March2006,2006-02-01,2005-03-01,3/1/2006,General merchandise stores,89934000,89934000
April2006,2006-03-01,2005-04-01,4/1/2006,General merchandise stores,96884000,96884000
May2006,2006-04-01,2005-05-01,5/1/2006,General merchandise stores,103295000,103295000
June2006,2006-05-01,2005-06-01,6/1/2006,General merchandise stores,103891000,103891000
July2006,2006-06-01,2005-07-01,7/1/2006,General merchandise stores,102445000,102445000
August2006,2006-07-01,2005-08-01,8/1/2006,General merchandise stores,105095000,105095000
September2006,2006-08-01,2005-09-01,9/1/2006,General merchandise stores,101215000,101215000
October2006,2006-09-01,2005-10-01,10/1/2006,General merchandise stores,108343000,108343000
November2006,2006-10-01,2005-11-01,11/1/2006,General merchandise stores,134233000,134233000
December2006,2006-11-01,2005-12-01,12/1/2006,General merchandise stores,195615000,195615000
January2007,2006-12-01,2006-01-01,1/1/2007,General merchandise stores,82757000,82757000
February2007,2007-01-01,2006-02-01,2/1/2007,General merchandise stores,77958000,77958000
March2007,2007-02-01,2006-03-01,3/1/2007,General merchandise stores,97997000,97997000
April2007,2007-03-01,2006-04-01,4/1/2007,General merchandise stores,100005000,100005000
May2007,2007-04-01,2006-05-01,5/1/2007,General merchandise stores,110031000,110031000
June2007,2007-05-01,2006-06-01,6/1/2007,General merchandise stores,115205000,115205000
July2007,2007-06-01,2006-07-01,7/1/2007,General merchandise stores,109985000,109985000
August2007,2007-07-01,2006-08-01,8/1/2007,General merchandise stores,111957000,111957000
September2007,2007-08-01,2006-09-01,9/1/2007,General merchandise stores,108233000,108233000
October2007,2007-09-01,2006-10-01,10/1/2007,General merchandise stores,111487000,111487000
November2007,2007-10-01,2006-11-01,11/1/2007,General merchandise stores,142701000,142701000
December2007,2007-11-01,2006-12-01,12/1/2007,General merchandise stores,197907000,197907000
January2008,2007-12-01,2007-01-01,1/1/2008,General merchandise stores,87463000,87463000
February2008,2008-01-01,2007-02-01,2/1/2008,General merchandise stores,85327000,85327000
March2008,2008-02-01,2007-03-01,3/1/2008,General merchandise stores,101726000,101726000
April2008,2008-03-01,2007-04-01,4/1/2008,General merchandise stores,105392000,105392000
May2008,2008-04-01,2007-05-01,5/1/2008,General merchandise stores,120479000,120479000
June2008,2008-05-01,2007-06-01,6/1/2008,General merchandise stores,119002000,119002000
July2008,2008-06-01,2007-07-01,7/1/2008,General merchandise stores,119569000,119569000
August2008,2008-07-01,2007-08-01,8/1/2008,General merchandise stores,120638000,120638000
September2008,2008-08-01,2007-09-01,9/1/2008,General merchandise stores,115081000,115081000
October2008,2008-09-01,2007-10-01,10/1/2008,General merchandise stores,120968000,120968000
November2008,2008-10-01,2007-11-01,11/1/2008,General merchandise stores,147816000,147816000
December2008,2008-11-01,2007-12-01,12/1/2008,General merchandise stores,206684000,206684000
January2009,2008-12-01,2008-01-01,1/1/2009,General merchandise stores,93907000,93907000
February2009,2009-01-01,2008-02-01,2/1/2009,General merchandise stores,86567000,86567000
March2009,2009-02-01,2008-03-01,3/1/2009,General merchandise stores,102181000,102181000
April2009,2009-03-01,2008-04-01,4/1/2009,General merchandise stores,117758000,117758000
May2009,2009-04-01,2008-05-01,5/1/2009,General merchandise stores,133484000,133484000
June2009,2009-05-01,2008-06-01,6/1/2009,General merchandise stores,127959000,127959000
July2009,2009-06-01,2008-07-01,7/1/2009,General merchandise stores,129535000,129535000
August2009,2009-07-01,2008-08-01,8/1/2009,General merchandise stores,127957000,127957000
September2009,2009-08-01,2008-09-01,9/1/2009,General merchandise stores,125823000,125823000
October2009,2009-09-01,2008-10-01,10/1/2009,General merchandise stores,134889000,134889000
November2009,2009-10-01,2008-11-01,11/1/2009,General merchandise stores,154568000,154568000
December2009,2009-11-01,2008-12-01,12/1/2009,General merchandise stores,219027000,219027000
January2010,2009-12-01,2009-01-01,1/1/2010,General merchandise stores,103152000,103152000
February2010,2010-01-01,2009-02-01,2/1/2010,General merchandise stores,95102000,95102000
March2010,2010-02-01,2009-03-01,3/1/2010,General merchandise stores,120419000,120419000
April2010,2010-03-01,2009-04-01,4/1/2010,General merchandise stores,126559000,126559000
May2010,2010-04-01,2009-05-01,5/1/2010,General merchandise stores,127394000,127394000
June2010,2010-05-01,2009-06-01,6/1/2010,General merchandise stores,129165000,129165000
July2010,2010-06-01,2009-07-01,7/1/2010,General merchandise stores,131505000,131505000
August2010,2010-07-01,2009-08-01,8/1/2010,General merchandise stores,121687000,121687000
September2010,2010-08-01,2009-09-01,9/1/2010,General merchandise stores,124030000,124030000
October2010,2010-09-01,2009-10-01,10/1/2010,General merchandise stores,131395000,131395000
November2010,2010-10-01,2009-11-01,11/1/2010,General merchandise stores,153662000,153662000
December2010,2010-11-01,2009-12-01,12/1/2010,General merchandise stores,208998000,208998000
January2011,2010-12-01,2010-01-01,1/1/2011,General merchandise stores,98966000,98966000
February2011,2011-01-01,2010-02-01,2/1/2011,General merchandise stores,91549000,91549000
March2011,2011-02-01,2010-03-01,3/1/2011,General merchandise stores,112524000,112524000
April2011,2011-03-01,2010-04-01,4/1/2011,General merchandise stores,126294000,126294000
May2011,2011-04-01,2010-05-01,5/1/2011,General merchandise stores,126627000,126627000
June2011,2011-05-01,2010-06-01,6/1/2011,General merchandise stores,130758000,130758000
July2011,2011-06-01,2010-07-01,7/1/2011,General merchandise stores,131847000,131847000
August2011,2011-07-01,2010-08-01,8/1/2011,General merchandise stores,125112000,125112000
September2011,2011-08-01,2010-09-01,9/1/2011,General merchandise stores,124309000,124309000
October2011,2011-09-01,2010-10-01,10/1/2011,General merchandise stores,127842000,127842000
November2011,2011-10-01,2010-11-01,11/1/2011,General merchandise stores,150805000,150805000
December2011,2011-11-01,2010-12-01,12/1/2011,General merchandise stores,212802000,212802000
January2012,2011-12-01,2011-01-01,1/1/2012,General merchandise stores,98782000,98782000
February2012,2012-01-01,2011-02-01,2/1/2012,General merchandise stores,94593000,94593000
March2012,2012-02-01,2011-03-01,3/1/2012,General merchandise stores,118971000,118971000
April2012,2012-03-01,2011-04-01,4/1/2012,General merchandise stores,123700000,123700000
May2012,2012-04-01,2011-05-01,5/1/2012,General merchandise stores,137215000,137215000
June2012,2012-05-01,2011-06-01,6/1/2012,General merchandise stores,130862000,130862000
July2012,2012-06-01,2011-07-01,7/1/2012,General merchandise stores,128563000,128563000
August2012,2012-07-01,2011-08-01,8/1/2012,General merchandise stores,128374000,128374000
September2012,2012-08-01,2011-09-01,9/1/2012,General merchandise stores,123928000,123928000
October2012,2012-09-01,2011-10-01,10/1/2012,General merchandise stores,127847000,127847000
November2012,2012-10-01,2011-11-01,11/1/2012,General merchandise stores,155873000,155873000
December2012,2012-11-01,2011-12-01,12/1/2012,General merchandise stores,207466000,207466000
January2013,2012-12-01,2012-01-01,1/1/2013,General merchandise stores,100272000,100272000
February2013,2013-01-01,2012-02-01,2/1/2013,General merchandise stores,95652000,95652000
March2013,2013-02-01,2012-03-01,3/1/2013,General merchandise stores,119481000,119481000
April2013,2013-03-01,2012-04-01,4/1/2013,General merchandise stores,118332000,118332000
May2013,2013-04-01,2012-05-01,5/1/2013,General merchandise stores,135822000,135822000
June2013,2013-05-01,2012-06-01,6/1/2013,General merchandise stores,132848000,132848000
July2013,2013-06-01,2012-07-01,7/1/2013,General merchandise stores,135045000,135045000
August2013,2013-07-01,2012-08-01,8/1/2013,General merchandise stores,135294000,135294000
September2013,2013-08-01,2012-09-01,9/1/2013,General merchandise stores,129132000,129132000
October2013,2013-09-01,2012-10-01,10/1/2013,General merchandise stores,135918000,135918000
November2013,2013-10-01,2012-11-01,11/1/2013,General merchandise stores,160874000,160874000
December2013,2013-11-01,2012-12-01,12/1/2013,General merchandise stores,210892000,210892000
January2014,2013-12-01,2013-01-01,1/1/2014,General merchandise stores,105355000,105355000
February2014,2014-01-01,2013-02-01,2/1/2014,General merchandise stores,100187000,100187000
March2014,2014-02-01,2013-03-01,3/1/2014,General merchandise stores,115782000,115782000
April2014,2014-03-01,2013-04-01,4/1/2014,General merchandise stores,130923000,130923000
May2014,2014-04-01,2013-05-01,5/1/2014,General merchandise stores,144297000,144297000
June2014,2014-05-01,2013-06-01,6/1/2014,General merchandise stores,142150000,142150000
July2014,2014-06-01,2013-07-01,7/1/2014,General merchandise stores,144335000,144335000
August2014,2014-07-01,2013-08-01,8/1/2014,General merchandise stores,144105000,144105000
September2014,2014-08-01,2013-09-01,9/1/2014,General merchandise stores,135302000,135302000
October2014,2014-09-01,2013-10-01,10/1/2014,General merchandise stores,140322000,140322000
November2014,2014-10-01,2013-11-01,11/1/2014,General merchandise stores,166457000,166457000
December2014,2014-11-01,2013-12-01,12/1/2014,General merchandise stores,219897000,219897000
