_comparatorDate,_labourCategory,_previousMonth,_previousYear,Age group,Date,Labour force characteristics,Sex,_valueConnector,Value
September 2013,,2014-08-01,2013-09-01,55 years and over,2014-09-01,Participation Rate,Everyone,38.3,38.3
October 2013,,2014-09-01,2013-10-01,55 years and over,2014-10-01,Participation Rate,Everyone,39.3,39.3
November 2013,,2014-10-01,2013-11-01,55 years and over,2014-11-01,Participation Rate,Everyone,39.6,39.6
December 2013,,2014-11-01,2013-12-01,55 years and over,2014-12-01,Participation Rate,Everyone,39.4,39.4
January 2014,,2014-12-01,2014-01-01,55 years and over,2015-01-01,Participation Rate,Everyone,39.3,39.3
February 2014,,2015-01-01,2014-02-01,55 years and over,2015-02-01,Participation Rate,Everyone,38.9,38.9
March 2014,,2015-02-01,2014-03-01,55 years and over,2015-03-01,Participation Rate,Everyone,38.4,38.4
April 2014,,2015-03-01,2014-04-01,55 years and over,2015-04-01,Participation Rate,Everyone,37.6,37.6
May 2014,,2015-04-01,2014-05-01,55 years and over,2015-05-01,Participation Rate,Everyone,37.7,37.7
June 2014,,2015-05-01,2014-06-01,55 years and over,2015-06-01,Participation Rate,Everyone,38.1,38.1
July 2014,,2015-06-01,2014-07-01,55 years and over,2015-07-01,Participation Rate,Everyone,37.8,37.8
August 2014,,2015-07-01,2014-08-01,55 years and over,2015-08-01,Participation Rate,Everyone,37.4,37.4
September 2014,,2015-08-01,2014-09-01,55 years and over,2015-09-01,Participation Rate,Everyone,37.3,37.3
October 2014,,2015-09-01,2014-10-01,55 years and over,2015-10-01,Participation Rate,Everyone,38.2,38.2
November 2014,,2015-10-01,2014-11-01,55 years and over,2015-11-01,Participation Rate,Everyone,38.5,38.5
December 2014,,2015-11-01,2014-12-01,55 years and over,2015-12-01,Participation Rate,Everyone,38.2,38.2
January 2015,,2015-12-01,2015-01-01,55 years and over,2016-01-01,Participation Rate,Everyone,37.5,37.5
February 2015,,2016-01-01,2015-02-01,55 years and over,2016-02-01,Participation Rate,Everyone,37.5,37.5
March 2015,,2016-02-01,2015-03-01,55 years and over,2016-03-01,Participation Rate,Everyone,38.2,38.2
April 2015,,2016-03-01,2015-04-01,55 years and over,2016-04-01,Participation Rate,Everyone,39.7,39.7
May 2015,,2016-04-01,2015-05-01,55 years and over,2016-05-01,Participation Rate,Everyone,40.4,40.4
June 2015,,2016-05-01,2015-06-01,55 years and over,2016-06-01,Participation Rate,Everyone,40.9,40.9
July 2015,,2016-06-01,2015-07-01,55 years and over,2016-07-01,Participation Rate,Everyone,40.5,40.5
August 2015,,2016-07-01,2015-08-01,55 years and over,2016-08-01,Participation Rate,Everyone,40.4,40.4
September 2015,,2016-08-01,2015-09-01,55 years and over,2016-09-01,Participation Rate,Everyone,40.3,40.3
October 2015,,2016-09-01,2015-10-01,55 years and over,2016-10-01,Participation Rate,Everyone,40.6,40.6
November 2015,,2016-10-01,2015-11-01,55 years and over,2016-11-01,Participation Rate,Everyone,40.9,40.9
December 2015,,2016-11-01,2015-12-01,55 years and over,2016-12-01,Participation Rate,Everyone,41.2,41.2
January 2016,,2016-12-01,2016-01-01,55 years and over,2017-01-01,Participation Rate,Everyone,40.7,40.7
February 2016,,2017-01-01,2016-02-01,55 years and over,2017-02-01,Participation Rate,Everyone,40.1,40.1
March 2016,,2017-02-01,2016-03-01,55 years and over,2017-03-01,Participation Rate,Everyone,39.7,39.7
April 2016,,2017-03-01,2016-04-01,55 years and over,2017-04-01,Participation Rate,Everyone,39.5,39.5
May 2016,,2017-04-01,2016-05-01,55 years and over,2017-05-01,Participation Rate,Everyone,39,39
June 2016,,2017-05-01,2016-06-01,55 years and over,2017-06-01,Participation Rate,Everyone,38.3,38.3
July 2016,,2017-06-01,2016-07-01,55 years and over,2017-07-01,Participation Rate,Everyone,38.4,38.4
August 2016,,2017-07-01,2016-08-01,55 years and over,2017-08-01,Participation Rate,Everyone,38.4,38.4
September 2016,,2017-08-01,2016-09-01,55 years and over,2017-09-01,Participation Rate,Everyone,38.5,38.5
October 2016,,2017-09-01,2016-10-01,55 years and over,2017-10-01,Participation Rate,Everyone,37.9,37.9
November 2016,,2017-10-01,2016-11-01,55 years and over,2017-11-01,Participation Rate,Everyone,38.4,38.4
December 2016,,2017-11-01,2016-12-01,55 years and over,2017-12-01,Participation Rate,Everyone,38.6,38.6
January 2017,,2017-12-01,2017-01-01,55 years and over,2018-01-01,Participation Rate,Everyone,38.7,38.7
February 2017,,2018-01-01,2017-02-01,55 years and over,2018-02-01,Participation Rate,Everyone,38.5,38.5
March 2017,,2018-02-01,2017-03-01,55 years and over,2018-03-01,Participation Rate,Everyone,38.6,38.6
April 2017,,2018-03-01,2017-04-01,55 years and over,2018-04-01,Participation Rate,Everyone,38.8,38.8
May 2017,,2018-04-01,2017-05-01,55 years and over,2018-05-01,Participation Rate,Everyone,38.7,38.7
June 2017,,2018-05-01,2017-06-01,55 years and over,2018-06-01,Participation Rate,Everyone,38.7,38.7
July 2017,,2018-06-01,2017-07-01,55 years and over,2018-07-01,Participation Rate,Everyone,38.8,38.8
August 2017,,2018-07-01,2017-08-01,55 years and over,2018-08-01,Participation Rate,Everyone,38.8,38.8
September 2017,,2018-08-01,2017-09-01,55 years and over,2018-09-01,Participation Rate,Everyone,38.2,38.2
October 2017,,2018-09-01,2017-10-01,55 years and over,2018-10-01,Participation Rate,Everyone,37.8,37.8
November 2017,,2018-10-01,2017-11-01,55 years and over,2018-11-01,Participation Rate,Everyone,37.8,37.8
December 2017,,2018-11-01,2017-12-01,55 years and over,2018-12-01,Participation Rate,Everyone,37.8,37.8
January 2018,,2018-12-01,2018-01-01,55 years and over,2019-01-01,Participation Rate,Everyone,37.6,37.6
February 2018,,2019-01-01,2018-02-01,55 years and over,2019-02-01,Participation Rate,Everyone,36.8,36.8
March 2018,,2019-02-01,2018-03-01,55 years and over,2019-03-01,Participation Rate,Everyone,36.3,36.3
April 2018,,2019-03-01,2018-04-01,55 years and over,2019-04-01,Participation Rate,Everyone,36,36
June 2019,,2020-05-01,2019-06-01,55 years and over,2020-06-01,Participation Rate,Everyone,36.7,36.7
July 2019,,2020-06-01,2019-07-01,55 years and over,2020-07-01,Participation Rate,Everyone,37.3,37.3
August 2019,,2020-07-01,2019-08-01,55 years and over,2020-08-01,Participation Rate,Everyone,38.5,38.5
September 2019,,2020-08-01,2019-09-01,55 years and over,2020-09-01,Participation Rate,Everyone,38.6,38.6
October 2019,,2020-09-01,2019-10-01,55 years and over,2020-10-01,Participation Rate,Everyone,38.4,38.4
November 2019,,2020-10-01,2019-11-01,55 years and over,2020-11-01,Participation Rate,Everyone,37.4,37.4
December 2019,,2020-11-01,2019-12-01,55 years and over,2020-12-01,Participation Rate,Everyone,37.1,37.1
January 2020,,2020-12-01,2020-01-01,55 years and over,2021-01-01,Participation Rate,Everyone,36.9,36.9
February 2020,,2021-01-01,2020-02-01,55 years and over,2021-02-01,Participation Rate,Everyone,37.3,37.3
March 2020,,2021-02-01,2020-03-01,55 years and over,2021-03-01,Participation Rate,Everyone,37.4,37.4
April 2020,,2021-03-01,2020-04-01,55 years and over,2021-04-01,Participation Rate,Everyone,37.8,37.8
May 2020,,2021-04-01,2020-05-01,55 years and over,2021-05-01,Participation Rate,Everyone,37.6,37.6
June 2020,,2021-05-01,2020-06-01,55 years and over,2021-06-01,Participation Rate,Everyone,37.1,37.1
July 2020,,2021-06-01,2020-07-01,55 years and over,2021-07-01,Participation Rate,Everyone,36.9,36.9
August 2020,,2021-07-01,2020-08-01,55 years and over,2021-08-01,Participation Rate,Everyone,37.4,37.4
September 2020,,2021-08-01,2020-09-01,55 years and over,2021-09-01,Participation Rate,Everyone,38.1,38.1
October 2020,,2021-09-01,2020-10-01,55 years and over,2021-10-01,Participation Rate,Everyone,38,38
November 2020,,2021-10-01,2020-11-01,55 years and over,2021-11-01,Participation Rate,Everyone,37.7,37.7
December 2020,,2021-11-01,2020-12-01,55 years and over,2021-12-01,Participation Rate,Everyone,37.1,37.1
January 2021,,2021-12-01,2021-01-01,55 years and over,2022-01-01,Participation Rate,Everyone,36.2,36.2
February 2021,,2022-01-01,2021-02-01,55 years and over,2022-02-01,Participation Rate,Everyone,36,36
March 2021,,2022-02-01,2021-03-01,55 years and over,2022-03-01,Participation Rate,Everyone,36.1,36.1
May 2006,,2007-04-01,2006-05-01,All working ages (15+),2007-05-01,Participation Rate,Everyone,69.6,69.6
June 2006,,2007-05-01,2006-06-01,All working ages (15+),2007-06-01,Participation Rate,Everyone,70.1,70.1
July 2006,,2007-06-01,2006-07-01,All working ages (15+),2007-07-01,Participation Rate,Everyone,70.7,70.7
August 2006,,2007-07-01,2006-08-01,All working ages (15+),2007-08-01,Participation Rate,Everyone,71.2,71.2
September 2006,,2007-08-01,2006-09-01,All working ages (15+),2007-09-01,Participation Rate,Everyone,71.2,71.2
October 2006,,2007-09-01,2006-10-01,All working ages (15+),2007-10-01,Participation Rate,Everyone,70.7,70.7
November 2006,,2007-10-01,2006-11-01,All working ages (15+),2007-11-01,Participation Rate,Everyone,69.8,69.8
December 2006,,2007-11-01,2006-12-01,All working ages (15+),2007-12-01,Participation Rate,Everyone,69.5,69.5
January 2007,,2007-12-01,2007-01-01,All working ages (15+),2008-01-01,Participation Rate,Everyone,69,69
February 2007,,2008-01-01,2007-02-01,All working ages (15+),2008-02-01,Participation Rate,Everyone,68.5,68.5
March 2007,,2008-02-01,2007-03-01,All working ages (15+),2008-03-01,Participation Rate,Everyone,68.2,68.2
April 2007,,2008-03-01,2007-04-01,All working ages (15+),2008-04-01,Participation Rate,Everyone,68.2,68.2
May 2007,,2008-04-01,2007-05-01,All working ages (15+),2008-05-01,Participation Rate,Everyone,68.7,68.7
June 2007,,2008-05-01,2007-06-01,All working ages (15+),2008-06-01,Participation Rate,Everyone,69.4,69.4
July 2007,,2008-06-01,2007-07-01,All working ages (15+),2008-07-01,Participation Rate,Everyone,69.8,69.8
August 2007,,2008-07-01,2007-08-01,All working ages (15+),2008-08-01,Participation Rate,Everyone,69.8,69.8
September 2007,,2008-08-01,2007-09-01,All working ages (15+),2008-09-01,Participation Rate,Everyone,69.3,69.3
October 2007,,2008-09-01,2007-10-01,All working ages (15+),2008-10-01,Participation Rate,Everyone,69.3,69.3
November 2007,,2008-10-01,2007-11-01,All working ages (15+),2008-11-01,Participation Rate,Everyone,69.6,69.6
December 2007,,2008-11-01,2007-12-01,All working ages (15+),2008-12-01,Participation Rate,Everyone,69.9,69.9
January 2008,,2008-12-01,2008-01-01,All working ages (15+),2009-01-01,Participation Rate,Everyone,70,70
February 2008,,2009-01-01,2008-02-01,All working ages (15+),2009-02-01,Participation Rate,Everyone,70.1,70.1
March 2008,,2009-02-01,2008-03-01,All working ages (15+),2009-03-01,Participation Rate,Everyone,70.1,70.1
April 2008,,2009-03-01,2008-04-01,All working ages (15+),2009-04-01,Participation Rate,Everyone,70.3,70.3
May 2008,,2009-04-01,2008-05-01,All working ages (15+),2009-05-01,Participation Rate,Everyone,70.8,70.8
June 2008,,2009-05-01,2008-06-01,All working ages (15+),2009-06-01,Participation Rate,Everyone,71.4,71.4
September 2010,,2011-08-01,2010-09-01,All working ages (15+),2011-09-01,Participation Rate,Everyone,71.4,71.4
October 2010,,2011-09-01,2010-10-01,All working ages (15+),2011-10-01,Participation Rate,Everyone,70.4,70.4
November 2010,,2011-10-01,2010-11-01,All working ages (15+),2011-11-01,Participation Rate,Everyone,69.3,69.3
December 2010,,2011-11-01,2010-12-01,All working ages (15+),2011-12-01,Participation Rate,Everyone,68.9,68.9
January 2011,,2011-12-01,2011-01-01,All working ages (15+),2012-01-01,Participation Rate,Everyone,69.1,69.1
February 2011,,2012-01-01,2011-02-01,All working ages (15+),2012-02-01,Participation Rate,Everyone,69.5,69.5
March 2011,,2012-02-01,2011-03-01,All working ages (15+),2012-03-01,Participation Rate,Everyone,69.6,69.6
April 2011,,2012-03-01,2011-04-01,All working ages (15+),2012-04-01,Participation Rate,Everyone,69.7,69.7
May 2011,,2012-04-01,2011-05-01,All working ages (15+),2012-05-01,Participation Rate,Everyone,70.1,70.1
June 2011,,2012-05-01,2011-06-01,All working ages (15+),2012-06-01,Participation Rate,Everyone,70.5,70.5
July 2011,,2012-06-01,2011-07-01,All working ages (15+),2012-07-01,Participation Rate,Everyone,71.1,71.1
August 2011,,2012-07-01,2011-08-01,All working ages (15+),2012-08-01,Participation Rate,Everyone,71.4,71.4
September 2011,,2012-08-01,2011-09-01,All working ages (15+),2012-09-01,Participation Rate,Everyone,71,71
October 2011,,2012-09-01,2011-10-01,All working ages (15+),2012-10-01,Participation Rate,Everyone,70.5,70.5
November 2011,,2012-10-01,2011-11-01,All working ages (15+),2012-11-01,Participation Rate,Everyone,69.7,69.7
December 2011,,2012-11-01,2011-12-01,All working ages (15+),2012-12-01,Participation Rate,Everyone,69.5,69.5
January 2012,,2012-12-01,2012-01-01,All working ages (15+),2013-01-01,Participation Rate,Everyone,69.2,69.2
February 2012,,2013-01-01,2012-02-01,All working ages (15+),2013-02-01,Participation Rate,Everyone,69,69
March 2012,,2013-02-01,2012-03-01,All working ages (15+),2013-03-01,Participation Rate,Everyone,68.9,68.9
April 2012,,2013-03-01,2012-04-01,All working ages (15+),2013-04-01,Participation Rate,Everyone,69,69
May 2012,,2013-04-01,2012-05-01,All working ages (15+),2013-05-01,Participation Rate,Everyone,69.3,69.3
June 2012,,2013-05-01,2012-06-01,All working ages (15+),2013-06-01,Participation Rate,Everyone,70.2,70.2
July 2012,,2013-06-01,2012-07-01,All working ages (15+),2013-07-01,Participation Rate,Everyone,70.6,70.6
August 2012,,2013-07-01,2012-08-01,All working ages (15+),2013-08-01,Participation Rate,Everyone,71.1,71.1
September 2012,,2013-08-01,2012-09-01,All working ages (15+),2013-09-01,Participation Rate,Everyone,70.7,70.7
October 2012,,2013-09-01,2012-10-01,All working ages (15+),2013-10-01,Participation Rate,Everyone,70.6,70.6
November 2012,,2013-10-01,2012-11-01,All working ages (15+),2013-11-01,Participation Rate,Everyone,70.2,70.2
December 2012,,2013-11-01,2012-12-01,All working ages (15+),2013-12-01,Participation Rate,Everyone,69.9,69.9
January 2013,,2013-12-01,2013-01-01,All working ages (15+),2014-01-01,Participation Rate,Everyone,69.2,69.2
February 2013,,2014-01-01,2013-02-01,All working ages (15+),2014-02-01,Participation Rate,Everyone,68.7,68.7
March 2013,,2014-02-01,2013-03-01,All working ages (15+),2014-03-01,Participation Rate,Everyone,68,68
April 2013,,2014-03-01,2013-04-01,All working ages (15+),2014-04-01,Participation Rate,Everyone,68.1,68.1
May 2013,,2014-04-01,2013-05-01,All working ages (15+),2014-05-01,Participation Rate,Everyone,68.1,68.1
June 2013,,2014-05-01,2013-06-01,All working ages (15+),2014-06-01,Participation Rate,Everyone,68.8,68.8
July 2013,,2014-06-01,2013-07-01,All working ages (15+),2014-07-01,Participation Rate,Everyone,69.1,69.1
August 2013,,2014-07-01,2013-08-01,All working ages (15+),2014-08-01,Participation Rate,Everyone,69.2,69.2
September 2013,,2014-08-01,2013-09-01,All working ages (15+),2014-09-01,Participation Rate,Everyone,69.2,69.2
October 2013,,2014-09-01,2013-10-01,All working ages (15+),2014-10-01,Participation Rate,Everyone,69.6,69.6
November 2013,,2014-10-01,2013-11-01,All working ages (15+),2014-11-01,Participation Rate,Everyone,70,70
January 2015,,2015-12-01,2015-01-01,All working ages (15+),2016-01-01,Participation Rate,Everyone,67.7,67.7
February 2015,,2016-01-01,2015-02-01,All working ages (15+),2016-02-01,Participation Rate,Everyone,67.4,67.4
March 2015,,2016-02-01,2015-03-01,All working ages (15+),2016-03-01,Participation Rate,Everyone,67.3,67.3
April 2015,,2016-03-01,2015-04-01,All working ages (15+),2016-04-01,Participation Rate,Everyone,67.6,67.6
May 2015,,2016-04-01,2015-05-01,All working ages (15+),2016-05-01,Participation Rate,Everyone,67.7,67.7
June 2015,,2016-05-01,2015-06-01,All working ages (15+),2016-06-01,Participation Rate,Everyone,67.9,67.9
July 2015,,2016-06-01,2015-07-01,All working ages (15+),2016-07-01,Participation Rate,Everyone,68.3,68.3
August 2015,,2016-07-01,2015-08-01,All working ages (15+),2016-08-01,Participation Rate,Everyone,69,69
September 2015,,2016-08-01,2015-09-01,All working ages (15+),2016-09-01,Participation Rate,Everyone,68.6,68.6
October 2015,,2016-09-01,2015-10-01,All working ages (15+),2016-10-01,Participation Rate,Everyone,68.1,68.1
November 2015,,2016-10-01,2015-11-01,All working ages (15+),2016-11-01,Participation Rate,Everyone,67.6,67.6
December 2015,,2016-11-01,2015-12-01,All working ages (15+),2016-12-01,Participation Rate,Everyone,67.7,67.7
January 2016,,2016-12-01,2016-01-01,All working ages (15+),2017-01-01,Participation Rate,Everyone,67.3,67.3
February 2016,,2017-01-01,2016-02-01,All working ages (15+),2017-02-01,Participation Rate,Everyone,66.6,66.6
March 2016,,2017-02-01,2016-03-01,All working ages (15+),2017-03-01,Participation Rate,Everyone,66.3,66.3
April 2016,,2017-03-01,2016-04-01,All working ages (15+),2017-04-01,Participation Rate,Everyone,66.4,66.4
May 2016,,2017-04-01,2016-05-01,All working ages (15+),2017-05-01,Participation Rate,Everyone,66.8,66.8
June 2016,,2017-05-01,2016-06-01,All working ages (15+),2017-06-01,Participation Rate,Everyone,67,67
July 2016,,2017-06-01,2016-07-01,All working ages (15+),2017-07-01,Participation Rate,Everyone,67.4,67.4
August 2016,,2017-07-01,2016-08-01,All working ages (15+),2017-08-01,Participation Rate,Everyone,67.6,67.6
September 2016,,2017-08-01,2016-09-01,All working ages (15+),2017-09-01,Participation Rate,Everyone,67.5,67.5
October 2016,,2017-09-01,2016-10-01,All working ages (15+),2017-10-01,Participation Rate,Everyone,66.6,66.6
November 2016,,2017-10-01,2016-11-01,All working ages (15+),2017-11-01,Participation Rate,Everyone,66.4,66.4
December 2016,,2017-11-01,2016-12-01,All working ages (15+),2017-12-01,Participation Rate,Everyone,66.4,66.4
January 2017,,2017-12-01,2017-01-01,All working ages (15+),2018-01-01,Participation Rate,Everyone,66.6,66.6
February 2017,,2018-01-01,2017-02-01,All working ages (15+),2018-02-01,Participation Rate,Everyone,67,67
March 2017,,2018-02-01,2017-03-01,All working ages (15+),2018-03-01,Participation Rate,Everyone,67.2,67.2
April 2017,,2018-03-01,2017-04-01,All working ages (15+),2018-04-01,Participation Rate,Everyone,67.7,67.7
May 2017,,2018-04-01,2017-05-01,All working ages (15+),2018-05-01,Participation Rate,Everyone,67.6,67.6
June 2017,,2018-05-01,2017-06-01,All working ages (15+),2018-06-01,Participation Rate,Everyone,67.9,67.9
July 2017,,2018-06-01,2017-07-01,All working ages (15+),2018-07-01,Participation Rate,Everyone,68.5,68.5
August 2017,,2018-07-01,2017-08-01,All working ages (15+),2018-08-01,Participation Rate,Everyone,69.1,69.1
September 2017,,2018-08-01,2017-09-01,All working ages (15+),2018-09-01,Participation Rate,Everyone,69,69
October 2017,,2018-09-01,2017-10-01,All working ages (15+),2018-10-01,Participation Rate,Everyone,68.5,68.5
November 2017,,2018-10-01,2017-11-01,All working ages (15+),2018-11-01,Participation Rate,Everyone,67.8,67.8
December 2017,,2018-11-01,2017-12-01,All working ages (15+),2018-12-01,Participation Rate,Everyone,67.4,67.4
January 2018,,2018-12-01,2018-01-01,All working ages (15+),2019-01-01,Participation Rate,Everyone,67,67
February 2018,,2019-01-01,2018-02-01,All working ages (15+),2019-02-01,Participation Rate,Everyone,66.5,66.5
March 2018,,2019-02-01,2018-03-01,All working ages (15+),2019-03-01,Participation Rate,Everyone,66.2,66.2
April 2018,,2019-03-01,2018-04-01,All working ages (15+),2019-04-01,Participation Rate,Everyone,66.3,66.3
June 2019,,2020-05-01,2019-06-01,All working ages (15+),2020-06-01,Participation Rate,Everyone,64.5,64.5
July 2019,,2020-06-01,2019-07-01,All working ages (15+),2020-07-01,Participation Rate,Everyone,66.8,66.8
August 2019,,2020-07-01,2019-08-01,All working ages (15+),2020-08-01,Participation Rate,Everyone,68.8,68.8
September 2019,,2020-08-01,2019-09-01,All working ages (15+),2020-09-01,Participation Rate,Everyone,68.4,68.4
October 2019,,2020-09-01,2019-10-01,All working ages (15+),2020-10-01,Participation Rate,Everyone,68.3,68.3
November 2019,,2020-10-01,2019-11-01,All working ages (15+),2020-11-01,Participation Rate,Everyone,67.5,67.5
December 2019,,2020-11-01,2019-12-01,All working ages (15+),2020-12-01,Participation Rate,Everyone,67.7,67.7
January 2020,,2020-12-01,2020-01-01,All working ages (15+),2021-01-01,Participation Rate,Everyone,68.1,68.1
February 2020,,2021-01-01,2020-02-01,All working ages (15+),2021-02-01,Participation Rate,Everyone,68.6,68.6
March 2020,,2021-02-01,2020-03-01,All working ages (15+),2021-03-01,Participation Rate,Everyone,69.1,69.1
April 2020,,2021-03-01,2020-04-01,All working ages (15+),2021-04-01,Participation Rate,Everyone,68.8,68.8
May 2020,,2021-04-01,2020-05-01,All working ages (15+),2021-05-01,Participation Rate,Everyone,68.3,68.3
June 2020,,2021-05-01,2020-06-01,All working ages (15+),2021-06-01,Participation Rate,Everyone,67.7,67.7
July 2020,,2021-06-01,2020-07-01,All working ages (15+),2021-07-01,Participation Rate,Everyone,67.7,67.7
August 2020,,2021-07-01,2020-08-01,All working ages (15+),2021-08-01,Participation Rate,Everyone,68.2,68.2
September 2020,,2021-08-01,2020-09-01,All working ages (15+),2021-09-01,Participation Rate,Everyone,68.2,68.2
October 2020,,2021-09-01,2020-10-01,All working ages (15+),2021-10-01,Participation Rate,Everyone,67.8,67.8
November 2020,,2021-10-01,2020-11-01,All working ages (15+),2021-11-01,Participation Rate,Everyone,67.2,67.2
December 2020,,2021-11-01,2020-12-01,All working ages (15+),2021-12-01,Participation Rate,Everyone,66.9,66.9
January 2021,,2021-12-01,2021-01-01,All working ages (15+),2022-01-01,Participation Rate,Everyone,66.3,66.3
February 2021,,2022-01-01,2021-02-01,All working ages (15+),2022-02-01,Participation Rate,Everyone,65.9,65.9
March 2021,,2022-02-01,2021-03-01,All working ages (15+),2022-03-01,Participation Rate,Everyone,65.4,65.4
May 2006,F,2007-04-01,2006-05-01,15 to 24 years,2007-05-01,Participation Rate,Females,73.7,73.7
June 2006,F,2007-05-01,2006-06-01,15 to 24 years,2007-06-01,Participation Rate,Females,74.9,74.9
July 2006,F,2007-06-01,2006-07-01,15 to 24 years,2007-07-01,Participation Rate,Females,76.4,76.4
August 2006,F,2007-07-01,2006-08-01,15 to 24 years,2007-08-01,Participation Rate,Females,77.8,77.8
September 2006,F,2007-08-01,2006-09-01,15 to 24 years,2007-09-01,Participation Rate,Females,74.4,74.4
October 2006,F,2007-09-01,2006-10-01,15 to 24 years,2007-10-01,Participation Rate,Females,71.4,71.4
November 2006,F,2007-10-01,2006-11-01,15 to 24 years,2007-11-01,Participation Rate,Females,68.8,68.8
December 2006,F,2007-11-01,2006-12-01,15 to 24 years,2007-12-01,Participation Rate,Females,70.4,70.4
January 2007,F,2007-12-01,2007-01-01,15 to 24 years,2008-01-01,Participation Rate,Females,68.7,68.7
February 2007,F,2008-01-01,2007-02-01,15 to 24 years,2008-02-01,Participation Rate,Females,68.5,68.5
March 2007,F,2008-02-01,2007-03-01,15 to 24 years,2008-03-01,Participation Rate,Females,66.9,66.9
April 2007,F,2008-03-01,2007-04-01,15 to 24 years,2008-04-01,Participation Rate,Females,66.5,66.5
May 2007,F,2008-04-01,2007-05-01,15 to 24 years,2008-05-01,Participation Rate,Females,68.4,68.4
June 2007,F,2008-05-01,2007-06-01,15 to 24 years,2008-06-01,Participation Rate,Females,73.5,73.5
July 2007,F,2008-06-01,2007-07-01,15 to 24 years,2008-07-01,Participation Rate,Females,77.4,77.4
August 2007,F,2008-07-01,2007-08-01,15 to 24 years,2008-08-01,Participation Rate,Females,79.1,79.1
September 2007,F,2008-08-01,2007-09-01,15 to 24 years,2008-09-01,Participation Rate,Females,75.6,75.6
October 2007,F,2008-09-01,2007-10-01,15 to 24 years,2008-10-01,Participation Rate,Females,73.7,73.7
November 2007,F,2008-10-01,2007-11-01,15 to 24 years,2008-11-01,Participation Rate,Females,69.9,69.9
December 2007,F,2008-11-01,2007-12-01,15 to 24 years,2008-12-01,Participation Rate,Females,71.3,71.3
January 2008,F,2008-12-01,2008-01-01,15 to 24 years,2009-01-01,Participation Rate,Females,71,71
February 2008,F,2009-01-01,2008-02-01,15 to 24 years,2009-02-01,Participation Rate,Females,72.7,72.7
March 2008,F,2009-02-01,2008-03-01,15 to 24 years,2009-03-01,Participation Rate,Females,71.5,71.5
April 2008,F,2009-03-01,2008-04-01,15 to 24 years,2009-04-01,Participation Rate,Females,71.3,71.3
May 2008,F,2009-04-01,2008-05-01,15 to 24 years,2009-05-01,Participation Rate,Females,71.2,71.2
June 2008,F,2009-05-01,2008-06-01,15 to 24 years,2009-06-01,Participation Rate,Females,74,74
September 2010,F,2011-08-01,2010-09-01,15 to 24 years,2011-09-01,Participation Rate,Females,75.4,75.4
October 2010,F,2011-09-01,2010-10-01,15 to 24 years,2011-10-01,Participation Rate,Females,70.8,70.8
November 2010,F,2011-10-01,2010-11-01,15 to 24 years,2011-11-01,Participation Rate,Females,66.4,66.4
December 2010,F,2011-11-01,2010-12-01,15 to 24 years,2011-12-01,Participation Rate,Females,65.7,65.7
January 2011,F,2011-12-01,2011-01-01,15 to 24 years,2012-01-01,Participation Rate,Females,67,67
February 2011,F,2012-01-01,2011-02-01,15 to 24 years,2012-02-01,Participation Rate,Females,67.1,67.1
March 2011,F,2012-02-01,2011-03-01,15 to 24 years,2012-03-01,Participation Rate,Females,67.5,67.5
April 2011,F,2012-03-01,2011-04-01,15 to 24 years,2012-04-01,Participation Rate,Females,67.4,67.4
May 2011,F,2012-04-01,2011-05-01,15 to 24 years,2012-05-01,Participation Rate,Females,69.7,69.7
June 2011,F,2012-05-01,2011-06-01,15 to 24 years,2012-06-01,Participation Rate,Females,72.9,72.9
July 2011,F,2012-06-01,2011-07-01,15 to 24 years,2012-07-01,Participation Rate,Females,76.6,76.6
August 2011,F,2012-07-01,2011-08-01,15 to 24 years,2012-08-01,Participation Rate,Females,78.5,78.5
September 2011,F,2012-08-01,2011-09-01,15 to 24 years,2012-09-01,Participation Rate,Females,77.8,77.8
October 2011,F,2012-09-01,2011-10-01,15 to 24 years,2012-10-01,Participation Rate,Females,75.3,75.3
November 2011,F,2012-10-01,2011-11-01,15 to 24 years,2012-11-01,Participation Rate,Females,73.5,73.5
December 2011,F,2012-11-01,2011-12-01,15 to 24 years,2012-12-01,Participation Rate,Females,73.9,73.9
January 2012,F,2012-12-01,2012-01-01,15 to 24 years,2013-01-01,Participation Rate,Females,72.4,72.4
February 2012,F,2013-01-01,2012-02-01,15 to 24 years,2013-02-01,Participation Rate,Females,69.6,69.6
March 2012,F,2013-02-01,2012-03-01,15 to 24 years,2013-03-01,Participation Rate,Females,68.2,68.2
April 2012,F,2013-03-01,2012-04-01,15 to 24 years,2013-04-01,Participation Rate,Females,67.1,67.1
May 2012,F,2013-04-01,2012-05-01,15 to 24 years,2013-05-01,Participation Rate,Females,68.7,68.7
June 2012,F,2013-05-01,2012-06-01,15 to 24 years,2013-06-01,Participation Rate,Females,69,69
July 2012,F,2013-06-01,2012-07-01,15 to 24 years,2013-07-01,Participation Rate,Females,73.1,73.1
August 2012,F,2013-07-01,2012-08-01,15 to 24 years,2013-08-01,Participation Rate,Females,75.2,75.2
September 2012,F,2013-08-01,2012-09-01,15 to 24 years,2013-09-01,Participation Rate,Females,74.2,74.2
October 2012,F,2013-09-01,2012-10-01,15 to 24 years,2013-10-01,Participation Rate,Females,72,72
November 2012,F,2013-10-01,2012-11-01,15 to 24 years,2013-11-01,Participation Rate,Females,68.9,68.9
