_previousYear,_units,Dataset,Date,Table Names,_valueConnector,Value
2013-10-01,,EXPORTS Port-Wide Cargo at HPA & Non-HPA Facilities (metric tonnes),2014-10-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,958084,958084
2013-10-01,Metric Tonnes,Port-wide Cargo Throughput,2014-10-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,1954899,1954899
2014-01-01,,IMPORTS Port-Wide Cargo at HPA & Non-HPA Facilities (metric tonnes),2015-01-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,1074515,1074515
2014-01-01,,EXPORTS Port-Wide Cargo at HPA & Non-HPA Facilities (metric tonnes),2015-01-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,772593,772593
2014-01-01,Metric Tonnes,Port-wide Cargo Throughput,2015-01-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,1847108,1847108
2014-04-01,,IMPORTS Port-Wide Cargo at HPA & Non-HPA Facilities (metric tonnes),2015-04-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,917599,917599
2014-04-01,,EXPORTS Port-Wide Cargo at HPA & Non-HPA Facilities (metric tonnes),2015-04-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,865860,865860
2014-04-01,Metric Tonnes,Port-wide Cargo Throughput,2015-04-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,1783459,1783459
2014-07-01,,IMPORTS Port-Wide Cargo at HPA & Non-HPA Facilities (metric tonnes),2015-07-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,889609,889609
2014-07-01,,EXPORTS Port-Wide Cargo at HPA & Non-HPA Facilities (metric tonnes),2015-07-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,867519,867519
2014-07-01,Metric Tonnes,Port-wide Cargo Throughput,2015-07-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,1757128,1757128
2014-10-01,,IMPORTS Port-Wide Cargo at HPA & Non-HPA Facilities (metric tonnes),2015-10-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,1110082,1110082
2014-10-01,,EXPORTS Port-Wide Cargo at HPA & Non-HPA Facilities (metric tonnes),2015-10-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,1071509,1071509
2014-10-01,Metric Tonnes,Port-wide Cargo Throughput,2015-10-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,2181591,2181591
2015-01-01,,IMPORTS Port-Wide Cargo at HPA & Non-HPA Facilities (metric tonnes),2016-01-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,995803,995803
2015-01-01,,EXPORTS Port-Wide Cargo at HPA & Non-HPA Facilities (metric tonnes),2016-01-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,860608,860608
2015-01-01,Metric Tonnes,Port-wide Cargo Throughput,2016-01-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,1856411,1856411
2015-04-01,,IMPORTS Port-Wide Cargo at HPA & Non-HPA Facilities (metric tonnes),2016-04-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,1042176,1042176
2015-04-01,,EXPORTS Port-Wide Cargo at HPA & Non-HPA Facilities (metric tonnes),2016-04-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,1075546,1075546
2015-04-01,Metric Tonnes,Port-wide Cargo Throughput,2016-04-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,2117722,2117722
2015-07-01,,IMPORTS Port-Wide Cargo at HPA & Non-HPA Facilities (metric tonnes),2016-07-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,903057,903057
2015-07-01,,EXPORTS Port-Wide Cargo at HPA & Non-HPA Facilities (metric tonnes),2016-07-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,1021545,1021545
2015-07-01,Metric Tonnes,Port-wide Cargo Throughput,2016-07-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,1924602,1924602
2015-10-01,,IMPORTS Port-Wide Cargo at HPA & Non-HPA Facilities (metric tonnes),2016-10-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,1235642,1235642
2015-10-01,,EXPORTS Port-Wide Cargo at HPA & Non-HPA Facilities (metric tonnes),2016-10-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,1137968,1137968
2015-10-01,Metric Tonnes,Port-wide Cargo Throughput,2016-10-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,2373610,2373610
2016-01-01,,IMPORTS Port-Wide Cargo at HPA & Non-HPA Facilities (metric tonnes),2017-01-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,999255,999255
2016-01-01,,EXPORTS Port-Wide Cargo at HPA & Non-HPA Facilities (metric tonnes),2017-01-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,966217,966217
2016-01-01,Metric Tonnes,Port-wide Cargo Throughput,2017-01-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,1965472,1965472
2016-04-01,,IMPORTS Port-Wide Cargo at HPA & Non-HPA Facilities (metric tonnes),2017-04-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,1097586,1097586
2016-04-01,,EXPORTS Port-Wide Cargo at HPA & Non-HPA Facilities (metric tonnes),2017-04-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,1143379,1143379
2016-04-01,Metric Tonnes,Port-wide Cargo Throughput,2017-04-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,2240965,2240965
2016-07-01,,IMPORTS Port-Wide Cargo at HPA & Non-HPA Facilities (metric tonnes),2017-07-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,1119210,1119210
2016-07-01,,EXPORTS Port-Wide Cargo at HPA & Non-HPA Facilities (metric tonnes),2017-07-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,1091682,1091682
2016-07-01,Metric Tonnes,Port-wide Cargo Throughput,2017-07-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,2210892,2210892
2016-10-01,,IMPORTS Port-Wide Cargo at HPA & Non-HPA Facilities (metric tonnes),2017-10-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,1274606,1274606
2016-10-01,,EXPORTS Port-Wide Cargo at HPA & Non-HPA Facilities (metric tonnes),2017-10-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,1210413,1210413
2016-10-01,Metric Tonnes,Port-wide Cargo Throughput,2017-10-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,2485019,2485019
2017-01-01,,IMPORTS Port-Wide Cargo at HPA & Non-HPA Facilities (metric tonnes),2018-01-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,1114246,1114246
2017-01-01,,EXPORTS Port-Wide Cargo at HPA & Non-HPA Facilities (metric tonnes),2018-01-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,952284,952284
2017-01-01,Metric Tonnes,Port-wide Cargo Throughput,2018-01-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,2066530,2066530
2017-04-01,,IMPORTS Port-Wide Cargo at HPA & Non-HPA Facilities (metric tonnes),2018-04-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,1159688,1159688
2017-04-01,,EXPORTS Port-Wide Cargo at HPA & Non-HPA Facilities (metric tonnes),2018-04-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,1282927,1282927
2017-04-01,Metric Tonnes,Port-wide Cargo Throughput,2018-04-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,2442615,2442615
2017-07-01,,IMPORTS Port-Wide Cargo at HPA & Non-HPA Facilities (metric tonnes),2018-07-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,1120822,1120822
2017-07-01,,EXPORTS Port-Wide Cargo at HPA & Non-HPA Facilities (metric tonnes),2018-07-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,1083075,1083075
2017-07-01,Metric Tonnes,Port-wide Cargo Throughput,2018-07-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,2203897,2203897
2017-10-01,,IMPORTS Port-Wide Cargo at HPA & Non-HPA Facilities (metric tonnes),2018-10-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,1148815,1148815
2017-10-01,,EXPORTS Port-Wide Cargo at HPA & Non-HPA Facilities (metric tonnes),2018-10-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,1128432,1128432
2017-10-01,Metric Tonnes,Port-wide Cargo Throughput,2018-10-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,2277247,2277247
2018-01-01,,IMPORTS Port-Wide Cargo at HPA & Non-HPA Facilities (metric tonnes),2019-01-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,1113641,1113641
2018-01-01,,EXPORTS Port-Wide Cargo at HPA & Non-HPA Facilities (metric tonnes),2019-01-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,963396,963396
2018-01-01,Metric Tonnes,Port-wide Cargo Throughput,2019-01-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,2077037,2077037
2018-04-01,,IMPORTS Port-Wide Cargo at HPA & Non-HPA Facilities (metric tonnes),2019-04-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,1084784,1084784
2018-04-01,,EXPORTS Port-Wide Cargo at HPA & Non-HPA Facilities (metric tonnes),2019-04-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,1188731,1188731
2018-04-01,Metric Tonnes,Port-wide Cargo Throughput,2019-04-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,2273515,2273515
2018-07-01,,IMPORTS Port-Wide Cargo at HPA & Non-HPA Facilities (metric tonnes),2019-07-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,946242,946242
2018-07-01,,EXPORTS Port-Wide Cargo at HPA & Non-HPA Facilities (metric tonnes),2019-07-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,1192938,1192938
2018-07-01,Metric Tonnes,Port-wide Cargo Throughput,2019-07-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,2139180,2139180
2018-10-01,,IMPORTS Port-Wide Cargo at HPA & Non-HPA Facilities (metric tonnes),2019-10-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,1000168,1000168
2018-10-01,,EXPORTS Port-Wide Cargo at HPA & Non-HPA Facilities (metric tonnes),2019-10-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,1132350,1132350
2018-10-01,Metric Tonnes,Port-wide Cargo Throughput,2019-10-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,2132518,2132518
2019-01-01,,IMPORTS Port-Wide Cargo at HPA & Non-HPA Facilities (metric tonnes),2020-01-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,881348,881348
2019-01-01,,EXPORTS Port-Wide Cargo at HPA & Non-HPA Facilities (metric tonnes),2020-01-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,1026230,1026230
2019-01-01,Metric Tonnes,Port-wide Cargo Throughput,2020-01-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,1907578,1907578
2019-04-01,,IMPORTS Port-Wide Cargo at HPA & Non-HPA Facilities (metric tonnes),2020-04-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,856908,856908
2019-04-01,,EXPORTS Port-Wide Cargo at HPA & Non-HPA Facilities (metric tonnes),2020-04-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,1065821,1065821
2019-04-01,Metric Tonnes,Port-wide Cargo Throughput,2020-04-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,1922729,1922729
2019-07-01,,IMPORTS Port-Wide Cargo at HPA & Non-HPA Facilities (metric tonnes),2020-07-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,1053374,1053374
2019-07-01,,EXPORTS Port-Wide Cargo at HPA & Non-HPA Facilities (metric tonnes),2020-07-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,1092886,1092886
2019-07-01,Metric Tonnes,Port-wide Cargo Throughput,2020-07-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,2146260,2146260
2019-10-01,,IMPORTS Port-Wide Cargo at HPA & Non-HPA Facilities (metric tonnes),2020-10-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,1009131,1009131
2019-10-01,,EXPORTS Port-Wide Cargo at HPA & Non-HPA Facilities (metric tonnes),2020-10-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,1287759,1287759
2019-10-01,Metric Tonnes,Port-wide Cargo Throughput,2020-10-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,2296890,2296890
2020-01-01,,IMPORTS Port-Wide Cargo at HPA & Non-HPA Facilities (metric tonnes),2021-01-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,1041729,1041729
2020-01-01,,EXPORTS Port-Wide Cargo at HPA & Non-HPA Facilities (metric tonnes),2021-01-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,1019222,1019222
2020-01-01,Metric Tonnes,Port-wide Cargo Throughput,2021-01-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,2060951,2060951
2020-04-01,,IMPORTS Port-Wide Cargo at HPA & Non-HPA Facilities (metric tonnes),2021-04-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,1135931,1135931
2020-04-01,,EXPORTS Port-Wide Cargo at HPA & Non-HPA Facilities (metric tonnes),2021-04-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,1110281,1110281
2020-04-01,Metric Tonnes,Port-wide Cargo Throughput,2021-04-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,2246212,2246212
2020-07-01,,IMPORTS Port-Wide Cargo at HPA & Non-HPA Facilities (metric tonnes),2021-07-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,1188940,1188940
2020-07-01,,EXPORTS Port-Wide Cargo at HPA & Non-HPA Facilities (metric tonnes),2021-07-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,1083362,1083362
2020-07-01,Metric Tonnes,Port-wide Cargo Throughput,2021-07-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,2272302,2272302
2020-10-01,,IMPORTS Port-Wide Cargo at HPA & Non-HPA Facilities (metric tonnes),2021-10-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,1185586,1185586
2020-10-01,,EXPORTS Port-Wide Cargo at HPA & Non-HPA Facilities (metric tonnes),2021-10-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,1197385,1197385
2020-10-01,Metric Tonnes,Port-wide Cargo Throughput,2021-10-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,2382971,2382971
2021-01-01,,IMPORTS Port-Wide Cargo at HPA & Non-HPA Facilities (metric tonnes),2022-01-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,65151,65151
2021-01-01,,EXPORTS Port-Wide Cargo at HPA & Non-HPA Facilities (metric tonnes),2022-01-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,59901,59901
2021-01-01,Metric Tonnes,Port-wide Cargo Throughput,2022-01-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,125052,125052
2011-01-01,Persons,Air Passengers,2012-01-01,Economic Dashboard - Manual Data Sheet.xlsx/Air Passengers,228186,228186
2011-02-01,Persons,Air Passengers,2012-02-01,Economic Dashboard - Manual Data Sheet.xlsx/Air Passengers,253786,253786
2011-03-01,Persons,Air Passengers,2012-03-01,Economic Dashboard - Manual Data Sheet.xlsx/Air Passengers,330153,330153
2011-04-01,Persons,Air Passengers,2012-04-01,Economic Dashboard - Manual Data Sheet.xlsx/Air Passengers,347301,347301
2011-05-01,Persons,Air Passengers,2012-05-01,Economic Dashboard - Manual Data Sheet.xlsx/Air Passengers,312897,312897
2011-06-01,Persons,Air Passengers,2012-06-01,Economic Dashboard - Manual Data Sheet.xlsx/Air Passengers,293019,293019
2011-07-01,Persons,Air Passengers,2012-07-01,Economic Dashboard - Manual Data Sheet.xlsx/Air Passengers,351496,351496
2011-08-01,Persons,Air Passengers,2012-08-01,Economic Dashboard - Manual Data Sheet.xlsx/Air Passengers,388722,388722
2011-09-01,Persons,Air Passengers,2012-09-01,Economic Dashboard - Manual Data Sheet.xlsx/Air Passengers,302957,302957
2011-10-01,Persons,Air Passengers,2012-10-01,Economic Dashboard - Manual Data Sheet.xlsx/Air Passengers,301585,301585
2011-11-01,Persons,Air Passengers,2012-11-01,Economic Dashboard - Manual Data Sheet.xlsx/Air Passengers,241298,241298
2011-12-01,Persons,Air Passengers,2012-12-01,Economic Dashboard - Manual Data Sheet.xlsx/Air Passengers,254301,254301
2012-01-01,Persons,Air Passengers,2013-01-01,Economic Dashboard - Manual Data Sheet.xlsx/Air Passengers,226999,226999
2012-02-01,Persons,Air Passengers,2013-02-01,Economic Dashboard - Manual Data Sheet.xlsx/Air Passengers,232961,232961
2012-03-01,Persons,Air Passengers,2013-03-01,Economic Dashboard - Manual Data Sheet.xlsx/Air Passengers,328082,328082
2012-04-01,Persons,Air Passengers,2013-04-01,Economic Dashboard - Manual Data Sheet.xlsx/Air Passengers,332421,332421
2012-05-01,Persons,Air Passengers,2013-05-01,Economic Dashboard - Manual Data Sheet.xlsx/Air Passengers,303804,303804
2012-06-01,Persons,Air Passengers,2013-06-01,Economic Dashboard - Manual Data Sheet.xlsx/Air Passengers,295946,295946
2012-07-01,Persons,Air Passengers,2013-07-01,Economic Dashboard - Manual Data Sheet.xlsx/Air Passengers,354930,354930
2012-08-01,Persons,Air Passengers,2013-08-01,Economic Dashboard - Manual Data Sheet.xlsx/Air Passengers,383117,383117
2012-09-01,Persons,Air Passengers,2013-09-01,Economic Dashboard - Manual Data Sheet.xlsx/Air Passengers,304861,304861
2012-10-01,Persons,Air Passengers,2013-10-01,Economic Dashboard - Manual Data Sheet.xlsx/Air Passengers,308110,308110
2012-11-01,Persons,Air Passengers,2013-11-01,Economic Dashboard - Manual Data Sheet.xlsx/Air Passengers,244363,244363
2012-12-01,Persons,Air Passengers,2013-12-01,Economic Dashboard - Manual Data Sheet.xlsx/Air Passengers,270270,270270
2013-01-01,Persons,Air Passengers,2014-01-01,Economic Dashboard - Manual Data Sheet.xlsx/Air Passengers,227452,227452
2013-02-01,Persons,Air Passengers,2014-02-01,Economic Dashboard - Manual Data Sheet.xlsx/Air Passengers,233438,233438
2013-03-01,Persons,Air Passengers,2014-03-01,Economic Dashboard - Manual Data Sheet.xlsx/Air Passengers,306680,306680
2013-04-01,Persons,Air Passengers,2014-04-01,Economic Dashboard - Manual Data Sheet.xlsx/Air Passengers,333562,333562
2013-05-01,Persons,Air Passengers,2014-05-01,Economic Dashboard - Manual Data Sheet.xlsx/Air Passengers,320010,320010
2013-06-01,Persons,Air Passengers,2014-06-01,Economic Dashboard - Manual Data Sheet.xlsx/Air Passengers,310400,310400
2013-07-01,Persons,Air Passengers,2014-07-01,Economic Dashboard - Manual Data Sheet.xlsx/Air Passengers,368107,368107
2013-08-01,Persons,Air Passengers,2014-08-01,Economic Dashboard - Manual Data Sheet.xlsx/Air Passengers,405926,405926
2013-09-01,Persons,Air Passengers,2014-09-01,Economic Dashboard - Manual Data Sheet.xlsx/Air Passengers,317879,317879
2013-10-01,Persons,Air Passengers,2014-10-01,Economic Dashboard - Manual Data Sheet.xlsx/Air Passengers,321992,321992
2013-11-01,Persons,Air Passengers,2014-11-01,Economic Dashboard - Manual Data Sheet.xlsx/Air Passengers,249420,249420
2013-12-01,Persons,Air Passengers,2014-12-01,Economic Dashboard - Manual Data Sheet.xlsx/Air Passengers,268173,268173
2014-01-01,Persons,Air Passengers,2015-01-01,Economic Dashboard - Manual Data Sheet.xlsx/Air Passengers,225301,225301
2014-02-01,Persons,Air Passengers,2015-02-01,Economic Dashboard - Manual Data Sheet.xlsx/Air Passengers,235076,235076
2014-03-01,Persons,Air Passengers,2015-03-01,Economic Dashboard - Manual Data Sheet.xlsx/Air Passengers,303399,303399
2014-04-01,Persons,Air Passengers,2015-04-01,Economic Dashboard - Manual Data Sheet.xlsx/Air Passengers,329017,329017
2014-05-01,Persons,Air Passengers,2015-05-01,Economic Dashboard - Manual Data Sheet.xlsx/Air Passengers,320359,320359
2014-06-01,Persons,Air Passengers,2015-06-01,Economic Dashboard - Manual Data Sheet.xlsx/Air Passengers,315629,315629
2014-07-01,Persons,Air Passengers,2015-07-01,Economic Dashboard - Manual Data Sheet.xlsx/Air Passengers,381448,381448
2014-08-01,Persons,Air Passengers,2015-08-01,Economic Dashboard - Manual Data Sheet.xlsx/Air Passengers,419109,419109
2014-09-01,Persons,Air Passengers,2015-09-01,Economic Dashboard - Manual Data Sheet.xlsx/Air Passengers,342114,342114
2014-10-01,Persons,Air Passengers,2015-10-01,Economic Dashboard - Manual Data Sheet.xlsx/Air Passengers,317447,317447
2014-11-01,Persons,Air Passengers,2015-11-01,Economic Dashboard - Manual Data Sheet.xlsx/Air Passengers,245494,245494
2014-12-01,Persons,Air Passengers,2015-12-01,Economic Dashboard - Manual Data Sheet.xlsx/Air Passengers,268312,268312
2015-01-01,Persons,Air Passengers,2016-01-01,Economic Dashboard - Manual Data Sheet.xlsx/Air Passengers,225788,225788
2015-02-01,Persons,Air Passengers,2016-02-01,Economic Dashboard - Manual Data Sheet.xlsx/Air Passengers,244896,244896
2015-03-01,Persons,Air Passengers,2016-03-01,Economic Dashboard - Manual Data Sheet.xlsx/Air Passengers,322825,322825
2015-04-01,Persons,Air Passengers,2016-04-01,Economic Dashboard - Manual Data Sheet.xlsx/Air Passengers,335744,335744
2015-05-01,Persons,Air Passengers,2016-05-01,Economic Dashboard - Manual Data Sheet.xlsx/Air Passengers,347055,347055
2015-06-01,Persons,Air Passengers,2016-06-01,Economic Dashboard - Manual Data Sheet.xlsx/Air Passengers,347861,347861
2015-07-01,Persons,Air Passengers,2016-07-01,Economic Dashboard - Manual Data Sheet.xlsx/Air Passengers,398887,398887
2015-08-01,Persons,Air Passengers,2016-08-01,Economic Dashboard - Manual Data Sheet.xlsx/Air Passengers,432703,432703
2015-09-01,Persons,Air Passengers,2016-09-01,Economic Dashboard - Manual Data Sheet.xlsx/Air Passengers,368071,368071
2015-10-01,Persons,Air Passengers,2016-10-01,Economic Dashboard - Manual Data Sheet.xlsx/Air Passengers,338986,338986
2015-11-01,Persons,Air Passengers,2016-11-01,Economic Dashboard - Manual Data Sheet.xlsx/Air Passengers,261878,261878
2015-12-01,Persons,Air Passengers,2016-12-01,Economic Dashboard - Manual Data Sheet.xlsx/Air Passengers,284105,284105
2016-01-01,Persons,Air Passengers,2017-01-01,Economic Dashboard - Manual Data Sheet.xlsx/Air Passengers,238500,238500
2016-02-01,Persons,Air Passengers,2017-02-01,Economic Dashboard - Manual Data Sheet.xlsx/Air Passengers,238159,238159
2016-03-01,Persons,Air Passengers,2017-03-01,Economic Dashboard - Manual Data Sheet.xlsx/Air Passengers,335775,335775
2016-04-01,Persons,Air Passengers,2017-04-01,Economic Dashboard - Manual Data Sheet.xlsx/Air Passengers,369633,369633
2016-05-01,Persons,Air Passengers,2017-05-01,Economic Dashboard - Manual Data Sheet.xlsx/Air Passengers,359336,359336
2016-06-01,Persons,Air Passengers,2017-06-01,Economic Dashboard - Manual Data Sheet.xlsx/Air Passengers,356166,356166
2016-07-01,Persons,Air Passengers,2017-07-01,Economic Dashboard - Manual Data Sheet.xlsx/Air Passengers,427011,427011
2016-08-01,Persons,Air Passengers,2017-08-01,Economic Dashboard - Manual Data Sheet.xlsx/Air Passengers,452238,452238
2016-09-01,Persons,Air Passengers,2017-09-01,Economic Dashboard - Manual Data Sheet.xlsx/Air Passengers,374923,374923
2016-10-01,Persons,Air Passengers,2017-10-01,Economic Dashboard - Manual Data Sheet.xlsx/Air Passengers,351452,351452
2016-11-01,Persons,Air Passengers,2017-11-01,Economic Dashboard - Manual Data Sheet.xlsx/Air Passengers,281840,281840
2016-12-01,Persons,Air Passengers,2017-12-01,Economic Dashboard - Manual Data Sheet.xlsx/Air Passengers,298155,298155
2017-01-01,Persons,Air Passengers,2018-01-01,Economic Dashboard - Manual Data Sheet.xlsx/Air Passengers,243932,243932
2017-02-01,Persons,Air Passengers,2018-02-01,Economic Dashboard - Manual Data Sheet.xlsx/Air Passengers,250595,250595
2017-03-01,Persons,Air Passengers,2018-03-01,Economic Dashboard - Manual Data Sheet.xlsx/Air Passengers,341623,341623
2017-04-01,Persons,Air Passengers,2018-04-01,Economic Dashboard - Manual Data Sheet.xlsx/Air Passengers,370004,370004
2017-05-01,Persons,Air Passengers,2018-05-01,Economic Dashboard - Manual Data Sheet.xlsx/Air Passengers,373808,373808
2017-06-01,Persons,Air Passengers,2018-06-01,Economic Dashboard - Manual Data Sheet.xlsx/Air Passengers,405573,405573
2017-07-01,Persons,Air Passengers,2018-07-01,Economic Dashboard - Manual Data Sheet.xlsx/Air Passengers,453404,453404
2017-08-01,Persons,Air Passengers,2018-08-01,Economic Dashboard - Manual Data Sheet.xlsx/Air Passengers,499457,499457
2017-09-01,Persons,Air Passengers,2018-09-01,Economic Dashboard - Manual Data Sheet.xlsx/Air Passengers,419327,419327
2017-10-01,Persons,Air Passengers,2018-10-01,Economic Dashboard - Manual Data Sheet.xlsx/Air Passengers,387903,387903
2017-11-01,Persons,Air Passengers,2018-11-01,Economic Dashboard - Manual Data Sheet.xlsx/Air Passengers,273417,273417
2017-12-01,Persons,Air Passengers,2018-12-01,Economic Dashboard - Manual Data Sheet.xlsx/Air Passengers,297036,297036
2018-01-01,Persons,Air Passengers,2019-01-01,Economic Dashboard - Manual Data Sheet.xlsx/Air Passengers,248543,248543
2018-02-01,Persons,Air Passengers,2019-02-01,Economic Dashboard - Manual Data Sheet.xlsx/Air Passengers,254508,254508
2018-03-01,Persons,Air Passengers,2019-03-01,Economic Dashboard - Manual Data Sheet.xlsx/Air Passengers,325348,325348
2018-04-01,Persons,Air Passengers,2019-04-01,Economic Dashboard - Manual Data Sheet.xlsx/Air Passengers,349768,349768
2018-05-01,Persons,Air Passengers,2019-05-01,Economic Dashboard - Manual Data Sheet.xlsx/Air Passengers,379885,379885
2018-06-01,Persons,Air Passengers,2019-06-01,Economic Dashboard - Manual Data Sheet.xlsx/Air Passengers,390311,390311
2018-07-01,Persons,Air Passengers,2019-07-01,Economic Dashboard - Manual Data Sheet.xlsx/Air Passengers,443174,443174
2018-08-01,Persons,Air Passengers,2019-08-01,Economic Dashboard - Manual Data Sheet.xlsx/Air Passengers,486511,486511
2018-09-01,Persons,Air Passengers,2019-09-01,Economic Dashboard - Manual Data Sheet.xlsx/Air Passengers,395850,395850
2018-10-01,Persons,Air Passengers,2019-10-01,Economic Dashboard - Manual Data Sheet.xlsx/Air Passengers,371009,371009
2018-11-01,Persons,Air Passengers,2019-11-01,Economic Dashboard - Manual Data Sheet.xlsx/Air Passengers,258891,258891
2018-12-01,Persons,Air Passengers,2019-12-01,Economic Dashboard - Manual Data Sheet.xlsx/Air Passengers,284645,284645
2019-01-01,Persons,Air Passengers,2020-01-01,Economic Dashboard - Manual Data Sheet.xlsx/Air Passengers,241510,241510
2019-02-01,Persons,Air Passengers,2020-02-01,Economic Dashboard - Manual Data Sheet.xlsx/Air Passengers,259702,259702
2019-03-01,Persons,Air Passengers,2020-03-01,Economic Dashboard - Manual Data Sheet.xlsx/Air Passengers,190962,190962
2019-04-01,Persons,Air Passengers,2020-04-01,Economic Dashboard - Manual Data Sheet.xlsx/Air Passengers,9420,9420
